Deinflect Rules V20050813 | by Jonathan Zarate | http://www.polarcloud.com
polite past negative
polite negative
polite volitional
-sugiru
-nasai
polite past
-tara
-tari
causative
potential or passive
-sou
-tai
polite
past
negative
passive
-ba
volitional
potential
passive or causative
-te
-zu
imperative
masu stem
adv
noun
imperative negative
んだ	ぶ	640	13
んだ	む	640	13
んで	ぬ	640	20
んで	ぶ	640	20
んで	む	640	20
い	いる	384	23
い	う	640	23
い	る	2176	22
え	う	640	22
え	える	384	23
き	きる	384	23
き	く	640	23
ぎ	ぎる	384	23
ぎ	ぐ	640	23
く	い	1152	24
け	く	640	22
け	ける	384	23
げ	ぐ	640	22
げ	げる	384	23
さ	い	1152	25
し	す	640	23
じ	じる	384	23
ず	る	2432	21
せ	す	640	22
せ	せる	384	23
ぜ	ぜる	384	23
た	る	2432	13
ち	ちる	384	23
ち	つ	640	23
て	つ	640	22
て	てる	384	23
て	る	2432	20
で	でる	384	23
な		7040	26
に	にる	384	23
に	ぬ	640	23
ね	ぬ	640	22
ね	ねる	384	23
ひ	ひる	384	23
び	びる	384	23
び	ぶ	640	23
へ	へる	384	23
べ	ぶ	640	22
べ	べる	384	23
み	みる	384	23
み	む	640	23
め	む	640	22
め	める	384	23
よ	る	384	22
り	りる	384	23
り	る	640	23
れ	る	640	22
れ	れる	384	23
ろ	る	384	22
